target,status,elapsed_seconds,coverage,corpus_size,executions,crashes
groovy_plugin,CRASH,56,462,327,131230,0
elixir_plugin,CRASH,1805,682,1020,1817529,0
query_parser,CRASH,1805,5933,3336,930444,0
go_plugin,CRASH,1805,407,428,1052211,0
html_plugin,CRASH,1805,532,736,3880278,0
dart_plugin,CRASH,1805,444,228,229656,0
c_plugin,CRASH,1805,395,199,129699,0
css_plugin,CRASH,1805,508,704,5,0
csharp_plugin,CRASH,1805,297,74,32742,0
haskell_plugin,CRASH,1806,927,1129,3760683,0
cpp_plugin,CRASH,1806,672,334,24199,0
unified_parser,CRASH,1806,6688,6243,1712462,0
java_plugin,CRASH,1802,509,425,574572,0
javascript_plugin,CRASH,1805,561,444,396680,0
kotlin_plugin,CRASH,1805,319,138,63431,0
lua_plugin,CRASH,1805,614,848,2375689,0
oracle_plsql_plugin,CRASH,1805,34,17,36250315,0
php_plugin,CRASH,1805,370,192,233611,0
perl_plugin,CRASH,1805,706,1178,2633321,0
python_plugin,CRASH,1805,498,463,693638,0
puppet_plugin,CRASH,1805,254,386,4209352,0
r_plugin,CRASH,1804,628,931,4001864,0
ruby_plugin,CRASH,1804,385,187,117573,0
rust_plugin,CRASH,1804,377,155,174565,0
svelte_plugin,CRASH,7,243,88,90289,0
salesforce_apex_plugin,CRASH,1802,160,15,234523,0
sap_abap_plugin,CRASH,1805,127,11,2993220,0
servicenow_xanadu_plugin,CRASH,1805,174,23,431020,0
shell_plugin,CRASH,1805,492,458,746075,0
scala_plugin,CRASH,1805,270,72,61092,0
sql_plugin,CRASH,1805,121,11,24864,0
swift_plugin,CRASH,1805,121,15,72457,0
typescript_plugin,CRASH,1805,347,326,1357336,0
terraform_plugin,CRASH,1805,106,171,28396705,0
zig_plugin,CRASH,1805,266,242,1725754,0
vue_plugin,CRASH,1805,63,33,238437946,0
fuzz_target_1,CRASH,1801,6,1,6740871742,0
